start_time,end_time,open,high,low,close,volume
1527600600,1527687000,55.702,57.3,55.23,56.752,28333200
1527687000,1527773400,56.658,59.001,56.32,58.344,37448430
1527773400,1527859800,57.442,58.074,56.586,56.946,29598605
1527859800,1528119000,57.172,58.39,56.7678,58.364,27121930
1528119000,1528205400,58.868,59.8,58.7096,59.348,23989050
1528205400,1528291800,59.54,59.56,57.348,58.226,29975785
1528291800,1528378200,60.1,64.434,59.496,63.9,93836345
1528378200,1528464600,63.23,66,62.716,63.218,71726355
1528464600,1528723800,63.8,64.896,63.43,63.532,41026010
1528723800,1528810200,64.502,66.932,64.5,66.42,65917365
1528810200,1528896600,68.94,70.994,67.6,68.554,111737015
1528896600,1528983000,69.3412,69.44,67.96,68.956,47349020
1528983000,1529069400,69.526,71.75,69.32,71.544,54905115
1529069400,1529328600,70.768,72.934,70.25,71.634,54241270
1529328600,1529415000,71.08,74.746,70.9,74.166,60366130
1529415000,1529501400,73.032,74,69.25,70.51,63809515
1529501400,1529587800,71.608,72.876,70.4,72.444,41918280
1529587800,1529674200,72.4,73.24278,69.254,69.502,39835725
1529674200,1529933400,70.308,70.45,66.4,66.726,51330295
1529933400,1530019800,66.024,67.694,65.5,66.602,34656520
1530019800,1530106200,67.2108,68.71,65.1598,68.4,37262435
1530106200,1530192600,69,70.158,67.9,68.9,41668635
1530192600,1530279000,69.732,71.404,69.222,69.986,41990025
1530279000,1530538200,70.666,70.772,68.482,68.59,32461980
1530538200,1530624600,72.014,72.956,65.97,67.014,93798825
1530624600,1530797400,66.35,66.498,61.938,62.172,61413190
1530797400,1530883800,62.752,62.878,59.244,61.832,87381870
1530883800,1531143000,60.9909,62.414,60.4,61.78,44327255
1531143000,1531229400,62.398,63.704,61.6,63.702,37983765
1531229400,1531315800,64.912,65.53542,63.84,64.494,47357490
1531315800,1531402200,63.16,64.388,63.014,63.792,24420380
1531402200,1531488600,64.286,64.646,62.554,63.342,28605830
1531488600,1531747800,63.116,63.91698,61.85,63.774,29378850
1531747800,1531834200,62.342,63.032,61.25,62.02,39093275
1531834200,1531920600,61.762,64.948,61.7,64.538,34981160
1531920600,1532007000,65,65.1,63.25,64.77,28121055
1532007000,1532093400,63.266,64.708,62.802,64.046,29576725
1532093400,1532352600,64.246,64.648,62.34186,62.716,25832735
1532352600,1532439000,60.368,61.1,58.57202,60.64,54964735
1532439000,1532525400,60.88418,61.54342,58.50904,59.486,47953920
1532525400,1532611800,59.348,61.924,58.9005,61.748,35470900
1532611800,1532698200,60.97,62.14,60.72822,61.33,23152610
1532698200,1532957400,61.45,61.53866,59.06808,59.436,28516630
1532957400,1533043800,59.18,59.22,57.226,58.034,34070360
1533043800,1533130200,58.45,59.664,57.814,59.628,25384580
1533130200,1533216600,59.598,60.6,58.6,60.168,50647150
1533216600,1533303000,65.688,69.998,64.632,69.908,116074810
1533303000,1533562200,69.562,71,68.506,69.634,68282430
1533562200,1533648600,69.092,70.996,68.364,68.398,42821655
1533648600,1533735000,68.768,77.492,67.83002,75.914,154378840
1533735000,1533821400,73.818,76.528,73.424,74.068,122855815
1533821400,1533907800,73.11,73.402,69.146,70.49,85919055
1533907800,1534167000,70.8,72,69.2,71.098,57760220
1534167000,1534253400,72.226,72.638,69.804,71.282,52319405
1534253400,1534339800,71.69,71.8399,69.42,69.528,34932135
1534339800,1534426200,68.38118,68.898,66.428,67.738,45506290
1534426200,1534512600,67.982,68.456,66.764,67.09,30320165
1534512600,1534771800,64.7,65.354,60.706,61.1,94793060
1534771800,1534858200,58.3407,61.7,57.64,61.688,87011675
1534858200,1534944600,62.122,64.958,61.8,64.38,65861150
1534944600,1535031000,64.174,64.776,62.934,64.328,29729775
